source,error,item
ne_10m_urban_areas_landscan.geojson,"no match","12.942039295368 5.2388775970592 Sokoto"
ne_10m_urban_areas_landscan.geojson,"no match","51.171296296264 54.993287036987 Sol-lletsk"
ne_10m_urban_areas_landscan.geojson,"no match","10.859808341341 -74.788499215575 Soledad"
ne_10m_urban_areas_landscan.geojson,"no match","7.2396505376145 100.54099462359 Songkhla"
ne_10m_urban_areas_landscan.geojson,"no match","13.733557347642 -89.742249103965 Sonsonate"
ne_10m_urban_areas_landscan.geojson,"no match","1.7124999999759 33.591666666606 Soroti"
ne_10m_urban_areas_landscan.geojson,"no match","63.60648148145 53.886574074025 Sosnogorsk"
ne_10m_urban_areas_landscan.geojson,"no match","5.7944209039306 -6.5814265537158 Soubre"
ne_10m_urban_areas_landscan.geojson,"no match","-26.266269966057 28.415958665172 Springs"
ne_10m_urban_areas_landscan.geojson,"no match","59.893012561649 30.356976222471 St. Petersburg"
