source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","4.7230108015041 -55.114662553228 Brokopondo  (feature #2800, WOEID: 377228)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.6322842588541 -54.387441417366 Marowijne  (feature #2801, WOEID: 2346409)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.3338328501601 -55.308853282201 Para  (feature #2802, WOEID: 2346411)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","3.813445279394 -55.968378944303 Sipaliwini  (feature #2803, WOEID: 2346414)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.7674942482538 -54.899323910944 Commewijne  (feature #2804, WOEID: 2346407)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.6344367188541 -56.287378196262 Coronie  (feature #2805, WOEID: 377234)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.8492492600457 -55.168849198653 Paramaribo  (feature #2806, WOEID: 377227)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.7099188456428 -55.63575958735 Saramacca  (feature #2807, WOEID: 2346413)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","5.7510864859944 -55.213070419017 Wanica  (feature #2808, WOEID: 2346415)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.328599885473 17.197900332803 Bratislavský  (feature #2809, WOEID: 20070505)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","48.505028759233 19.492476349112 Banskobystrický  (feature #2810)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.505028759233 19.492476349112 Banskobystrický Slovakia Banská Bystrica  (feature #2810, WOEID: 20070495)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"API returned no results for search.","49.174169811862 19.154662074845 ilinský  (feature #2811)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","49.174169811862 19.154662074845 ilinský Slovakia ilina  (feature #2811)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.161021146608 18.318737723123 Nitriansky  (feature #2812, WOEID: 20070492)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.854375046375 18.18756318812 Trenciansky  (feature #2813, WOEID: 20070493)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","48.366448511629 17.505130747682 Trnavský  (feature #2814, WOEID: 20070504)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","48.691083493661 21.272894737579 Koický Slovakia Koice  (feature #2815)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","49.115022670457 21.187676108932 Preov Slovakia  (feature #2816)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","45.84633727453 14.584847359042 Velike Lace Slovenia  (feature #2817)"
